ITEM_ID,GENRES,CREATION_TIMESTAMP
0d2e2e91-421f-4d1e-8062-0bc1de0d2d28,History,
1e49867c-7cfd-4ad7-a61e-43da0fc693b6,History,
187d9e8a-c706-4723-9a40-be6f9bae1c10,History,
3368fad9-eed0-44cd-bc4a-e27aacdb736f,History,
c437eb0a-65d9-42e3-9fcc-7d804908f2f6,History,
e5644bbd-7d58-4e12-aeb9-0e3af9055ef5,History,
b131020c-baaa-4cfd-9317-ba7a625de750,History,
8e7a7972-83a6-4995-8bb2-53c2fdb72898,History,
71138e02-fa84-4276-bca6-6a99cbfc7416,History,
ab3a9993-19d1-4358-8723-6f01843fbef5,Arts and Music,
62df7bca-f903-44d8-a416-2e844c8b585c,Drama,
156c35f9-7076-4cdc-943b-646101cb3001,Drama,
0195dc89-6668-4d32-ae6f-07a9239d7775,Drama,
e491a16c-238f-4d8a-8717-523fe25d2421,Drama,
956dfdcf-2664-4830-b3e8-9eac67c9dd4b,Drama,
d51c8895-efc9-4c11-9581-37875e72711a,Drama,
e6af3f45-c8b2-4e57-8a9a-a55ea64d4c12,Drama,
9ee7d7f6-78dd-448c-8e6e-d2517f802cb8,Drama,
8a28a797-e4a6-4c95-886c-4fd2f4a8e5d6,Drama,
da431dc0-34f7-4af8-a966-db184bbf8e65,Drama,
2af41f79-3df8-4684-b9c3-e4958ecf30a3,Drama,
79cbdb86-3280-431f-a3b5-430e0387a1d8,Drama,
30b5ec4c-6aa3-47f2-83d1-d4619fd57346,Drama,
8f23e700-14c4-4b37-b2ac-cf73b368fab6,Drama,
c1ba7df0-bcb8-42a9-b54b-b97395401af9,Drama,
1bbc54b3-d873-4cbe-be06-d8583174339b,Drama,
4dcd2fc5-4662-42b9-bd74-713d34ec09a2,Drama,
a054247c-3e69-4a37-b4d1-07f6e4937ee9,Drama,
71138e02-fa84-4276-bca6-6a99cbfc7416,History,
75804107-4ff5-4069-b9b4-0d6af9175e46,Arts and Music,
4ccba5d4-5e16-4a1e-8faa-807da73fb0d4,Science and Nature,
26e7e1b8-5f7c-4d49-8df7-7fa20fe69209,Drama,
961bf0ed-62e6-4acb-a4ba-0cf845791e43,Drama,
21f6c213-b167-441c-aad6-afbe3c46a66f,Food,
52c79615-05c1-45d5-ab39-cd02c725b114,History,
ee1eb3a1-a20c-4c6a-8ec2-742577ce2da8,Drama,
0d236e43-6c0c-452e-a1f7-d43e10e8a896,Drama,
2af41f79-3df8-4684-b9c3-e4958ecf30a3,Drama,
79cbdb86-3280-431f-a3b5-430e0387a1d8,Drama,
30b5ec4c-6aa3-47f2-83d1-d4619fd57346,Drama,
e6af3f45-c8b2-4e57-8a9a-a55ea64d4c12,Drama,
45f3e0dd-7ed0-424b-af66-ae138fba7e47,History,
2e8761b1-1e75-480e-8bbc-2e4fad434328,Drama,
0fc796f8-6e6d-4b55-9e25-ebe131349485,Drama,
7277df22-9a60-4c89-a88f-e6b17120b0ba,Drama,
23317843-3137-49bb-870a-b51d248dabda,Drama,
14abde95-413f-4bf6-b4a2-c8ca069f0caf,Drama,
f3002f82-9434-41de-a423-3b0fa99ca6e7,Drama,
c1fdabea-4637-4646-be84-d9cc576906a7,Drama,
90e2a640-201e-4360-a355-8e87ca28458a,Drama,
de7e08c6-1e2c-46fe-a8b3-de11ffdd205b,Drama,
2726f9c8-2c7f-4a0a-a659-dfd92ae62125,Drama,
7ad7fcc0-e75e-4319-98f4-5440f7861616,Drama,
03f5dd9b-23d3-4387-afcd-5abf9d8900c0,Drama,
bd891e22-54f5-421a-86c1-b77d49c6ba74,Food,
8ff12e64-2616-41b5-8302-ea7b58fe8a2a,Culture,
0377b378-08de-4d70-9f7f-3fd0be71ada7,Culture,
03628a4f-773a-4a30-9623-fe30c85f08f5,Food,
2908833e-8a43-4f1e-ab01-5fe01bbd358d,Food,
9f8c4c65-e863-4d41-b68f-2515ac9b4a31,Food,
5abf2afd-6c19-49cd-a6c7-ba5d4ab3606e,Drama,
e3c3fdcc-7631-4bfd-94fe-4bdfcadc623e,Drama,
d5960441-a4e2-4c0c-8306-d17d34b8918d,Drama,
cd1fa78c-1829-406e-bd3a-e11fb1357212,Drama,
a893f2d7-f917-474f-9933-a686ae7fa61d,Drama,
69bb2b6e-4fa9-4228-8aff-d9d9f0358c4e,Drama,
bf16329d-6434-49bc-9958-0feee1232982,Home and How To,
23a7efd2-6a7f-4314-9038-b113bc561139,Home and How To,
11e87d97-5c11-4a0b-9c8b-e1d761097938,Arts and Music,
7cbbc3bc-6820-4961-becc-461523f5112c,Arts and Music,
b13030c0-d054-4d2c-b10f-c25c01728a6e,History,
5abf2afd-6c19-49cd-a6c7-ba5d4ab3606e,Drama,
24b69bbb-b4d1-4c41-b531-8a6622093196,Culture,
6f0b8a38-e7c7-4edc-9d43-4137352657c5,Culture,
53354da0-6533-4f5c-a3a7-cf2dc1d40b5b,Culture,
fab98101-02b4-40b4-9826-14230b79a441,Culture,
2a4b9f89-0c29-4449-84c7-c7aa311624b7,Culture,
b3b52496-0afc-4280-849c-d6db77b87c74,Culture,
77ea60ab-aabd-48e3-b965-fb6f62edffb5,Arts and Music,
45f3e0dd-7ed0-424b-af66-ae138fba7e47,History,
11f5a6b0-76c2-483e-919d-4ba80555eb63,Culture,
48c9cba9-21ee-4975-b5a6-8684bde39f5b,Culture,
704e9bb4-7c10-4bc9-8261-5bc122833448,Culture,
ab3a9993-19d1-4358-8723-6f01843fbef5,Arts and Music,
52c79615-05c1-45d5-ab39-cd02c725b114,History,
21f6c213-b167-441c-aad6-afbe3c46a66f,Food,
c1068480-05d0-4519-b01a-974af96169ce,Culture,
e96942da-2687-4a8b-9e4a-1984a21d0e8c,Culture,
3ce3c6a3-1322-41ad-80ca-b603a1b25891,Culture,
8f0007e9-3d85-463d-8b99-39063b7fa310,Science and Nature,
d09ad18f-1728-4354-ad5d-9c1c763c7d7f,Science and Nature,
4e6b3d55-001a-405e-848d-4d4c52fa6b42,Drama,
99315245-c5fc-4f6c-aadc-bc40efcd7677,Culture,
8f226897-d579-44e2-bf68-a574562525bf,History,
41ec2de1-140e-4182-9868-c8bc79f3e423,History,
6235af80-c5b4-4f9f-9fc9-d4558f2a6334,History,
b5ee29f1-48b3-49da-9740-b8e7ad70a277,Drama,
62df7bca-f903-44d8-a416-2e844c8b585c,Drama,
156c35f9-7076-4cdc-943b-646101cb3001,Drama,
0195dc89-6668-4d32-ae6f-07a9239d7775,Drama,
e491a16c-238f-4d8a-8717-523fe25d2421,Drama,
956dfdcf-2664-4830-b3e8-9eac67c9dd4b,Drama,
d51c8895-efc9-4c11-9581-37875e72711a,Drama,
60c5fd4f-b1c4-44d5-ae6f-f4ccf06ac513,Drama,
fbb04946-4b93-46da-9b47-de2fe8cd2367,Drama,
71480e06-815a-4bca-8211-64f7bbc66989,Drama,
d719f2f6-54d7-4fc9-b073-e8ec96d894fa,Drama,
8e3becdf-bf27-4c7c-a7da-3186cf3a4597,Drama,
d148dbcc-2464-4f33-a99d-4a1aea681778,Drama,
f3a06a24-eed6-42ae-b049-1bfe78f607d4,Drama,
dc78a915-b4b0-4770-840e-4fa94dc91d6b,Drama,
bc380eda-b595-44ca-9f7c-5dcddd2cf952,Drama,
01b3ff10-ede4-49e6-b9f2-b42fbfb3db08,Drama,
434f5410-bd85-43aa-b06b-2e17890136ef,Drama,
6ef3177c-371c-4166-841f-2e2e874b27b5,Drama,
1169520f-b71b-4eb4-a86d-51b171107630,Drama,
5fc1f62d-3342-48c0-a3da-fb6a859ecf63,Drama,
a612d608-6df9-40da-8b57-b0d07b3cfade,Drama,
817e33c0-b764-47df-be8a-63a925acb9bb,Drama,
75ea7207-1036-41d5-8474-db97e7f8eb2e,Drama,
291732b4-4366-446c-845a-1df4975c1988,Drama,
